"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-171916","altepetl.","āltepētl.","tlat.","Canahya campa itztoqueh macehualmeh tlen mochantihtoqueh huan tlahuel tlayehyectzin; coyomeh mohmoztla nopayoh nemih huan axtlen quimpoloa pampa tequitih huan quintlaxtlahuiah. “Angelica yahqui pan ce altepetl tequitito; naman mocauhquiya ne pampa tlaahcic huanya ce tlacatl tlen ne euhquetl.”","","","city or large town","ātl, tepētl.","IDIEZ"
"WHP-171921","amo.","amō.","quen.","Tlahtolli tlen quitzacuilia ce tlachihualiztli zo quicamaixnamiqui ce tlatocaxtiliztli zo ce tlapantliliztli. “Naman amo tiyazceh tianquiz pampa nocca ticpiyah tlen ticcuazceh.”","","","no, not.","ah, mō.","IDIEZ"
"WHP-171922","amatl.","āmatl.","tlat.","1. Cuahuitl tlen hueyi mozcaltia; moquetza hueliz ce caxtolli huan ce mapelli, huan cequi tlehco achiyoc; eli zancampahueli; ixihuiyo xoxoctic, pahpatlatic huan tihtilahuac; quipiya miac iezzo huan iixnezca chipahuac; Ixochiyo chipahuac; huahcauhpameh pan tlahcuiloyayah ipetlayo. “Ne amatl poztecqui pampa tlahuel hueyi eliyaya; naman ayoconcah cuatzalan. ” 2. Ce tlamantli tlen quitequihuia macehualli pan tlahcuiloz; tepahtihquetl ica quichihua tlatectli quemman tepahtia. ""Victor quicuapoloh iamauh tlen quitequihuia campa momachtia quemman mocuapayayaya ichan. ""","el árbol del amate, o el papel de amate.","","1. amate tree. 2. paper, sheet of paper.","","IDIEZ"
"WHP-171950","atl."," ātl.","tlat.","Tlen mantoc tlaltzintlan huan tepetl iihtico huan meya canahya; tlen huetzi mozancehcotilia, pehua motlaloa pan ce atlauhtli huan ahci pan hueyi atl; macehualli, tecuani huan tlapiyalli quioni huan tlalli quichichina; macehualli nouhquiya quitlacualtia quemman axhuetzi. “Delia quiamati quioniz atl quemman tlacua.”","","","water.","","IDIEZ"
"WHP-171954","ahuitl.","āhuitl","tlat.","Nouhquiya NELĀHUITL. no. Macehualli itatah zo inanan iicniuh tlen cihuatl. “Na nicpiya ce noahui Matamoros huan axquemman yohui nochan onpaxaloa.”","","","s.o.ʻs aunt.","","IDIEZ"
"WHP-171969","cahuilia.","cāhuiliā.","tlach3.","1. nic. Macehualli axcanah yohui ce tonatiuh campa ipan yohui. “Eliazar quicahuilih yaz ce hueltah caltlamachtihquetl quemman mococoh. ” 2. nic. Macehualli quicahua ce tlenhueli ichan zo canahya para ceyoc. “Margarita quicahuilqui ce pantzin ichocho, pampa yahqui millah. ” 3. Zan motequihuia ica tlempanoto, tlempanoti, tlempanoco huan tlempanoqui. nic. Macehualli conmaca ce tlenhueli ce acahya campa itztoc. “Arturo quicahuilito chichiquilli iahui. ” 4. nic. /nimo. Macehualli quiahcocuilia ce tlenhueli ceyoc. “Juan Tomas mocahuilih chocolatl achi hueyi pampa tlahuel quiamati. ” 5. nic. /nimo. Macehualli quitlahtlacoltia ceyoc ica ce tlamantli. “Yanet quicuahqui pantzin, huan quicahuilih tlamachtihquetl. ”","A. 1.nic. una persona no fue a un lugar donde va todos los dias. “Hoy Eliazar no vino el instituto”. 2. nic. una persona deja una cosa en su casa o en un lugar para alguien. “Margarita dejó un pan para su hermano porque fue a la milpa”. 3. nic. una persona le va a entregar una cosa a alguien. “Arturo le va a dejar tamales en casa de su tia”. 4. nimo. una persona le guarda una cosa de alguien. “Juan Tomás se dejo un poco grande de pastel porque le gusta mucho”. 5.nic/nimo. una persona se culpa o culpa a alguien. “Yanet comio pastel y dejo al maestro”. ","","1. to be absent from a place or activity. 2. nic. to leave s.t. somewhere for s.o. 3. to leave s.t. with s.o. 4. to save s.t. for s.o. 5. to blame s.o.","cāhua, liā2.","IDIEZ"
"WHP-171978","calaqui.","calaqui2.","","ni. Macehualli, tecuani zo tlapiyalli yahtiuh iihtico ce tlamantli. “Ofelia calacqui ichan pampa peuhqui tlaahuetzi. ”","A. ni. una persona o fiera va adentro de algo o en una parte. “Ofelia se metió a su casa porque empezó a llover”. ","","to enter.","calli, aqui.","IDIEZ"
"WHP-171991","cahuia.","cāhuiā.","tlach3.","nic. /nimo. Macehualli quicahua canahya ce achi tlacualiztli tlen quicouhqui, quimacaqueh zo quichihchiuhqui para ma quicui teipan ce iteixmatcauh. “Margarita quicahuia ce pantzin ichocho, pampa yahtoc millah. ”","A. 1. nic/nimo. una persona compra o le dan una comida, lo lleva a su casa, y lo deja un poco para sus hermanos o para sus papás. “Margarita le deja un pan a su hermano, porque ha ido a la milpa”. 2. nic. una persona les deja una comida a sus casas de sus parientes o sus amigos. “Ofelia dejó tamales en casa de su padrino”. 3. nic. una persona culpa a otra de algo que el no hizo. “Yanet comio pastel, y dejo que fue el maestro”. ","","to leave s.t. someplace for a relative.","cāhua, iā2.","IDIEZ"
"WHP-172003","cehui.","cēhui.","tlach2.","1. Ceceya ce tlamantli. “Cehui tlalli tlayohua. ” 2. Ayoccanah motequihuia tepoztli pampa yahqui tlahuilli. “Ceuhqui tepoztlatzotzontli huan nochi macehualmeh calacqueh mohuilanah. ” 3. Ayoccanah totonic ce tlamantli tlacualiztli. “Ceuhqui notlaxcal tlen nonanan nechtehtequiltoya pampa axnimantzin nitlacuato. ” 4. Polihui tlahuilli zo tlitl. “Quemman tlatomoni cehui tlahuilli. ”","	A.1. se enfrìa. “Se enfría la tierra de noche. 2. Se va la luz. “Cuando hace truenos se enfrìa la tierra”. 3. Ya no se usa el aparato porque se fue la luz. “Se apagó el aparato porque se fue la luz”. 	B. se apaga o se enfria. ","","1. to become cold. 2. for a machine to turn off. 3. for food to get cold. 4. for a fire or a light to go out. ","cētl, hui1.","IDIEZ"
"WHP-172028","cihuatl.","cihuātl.","tlat.","1. ni. Macehualli tlen toahui. ""Ne cihuatl ontlachcuenia apan pampa ichan axoncah atl. "" 2. ni. Macehualli toahui, tecuani zo tlapiyalli tlen hueli quipiya iconeuh quemman mozancehcotilia huanya ce tlacatl. “Ne oquichchichi icihuauh tlanemiltia. ” 3. no. Pilconetzin oquichpil quitoxcatia iuhquinon ce cihuatl quemman quichihua itionan. “Juan quiillia inanan, ‘Ma, xicmaca ce tlaxcalli ne nocihuauh tlen Tiocuayoh. ” 4. no. Ce tlacatl tlen quimahcui ce conetzin cihuapil quitocaxtia iuhquinon. “Don Porfirio quiillia Martha, ‘Xicmaca ce cuaciyah ne nocihuauh tlen Tepecxitlan. ” 5. no. Ihuical macehualli tlacatl. “Nocihuauh nechcauhqui pampa nechittac huanya ceyoc. ”","","","1. woman. 2. female. 3. godmother of a boy. 4. goddaughter of a man. 5. s.o.’s wife.","","IDIEZ"
